dataset,model,acc,time,args,source
flickr,GGCN,90.17±0.76,186.76,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GGCN', 'dropout': 0.6, 'decay_rate': 0.8, 'nlayers': 2, 'use_sparse': False, 'use_degree': True, 'use_sign': True, 'use_decay': True, 'use_bn': False, 'use_ln': False, 'exponent': 3.0, 'scale_init': 0.5, 'deg_intercept_init': 0.5}",cola
chameleon,GloGNN,40.28±2.91,319.61,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GloGNN', 'dropout': 0.3, 'alpha': 1, 'beta': 100, 'gamma': 0.4, 'delta': 0.1, 'norm_layers': 3, 'orders': 4, 'norm_func_id': 2, 'early_stopping': 100, 'nhid': 64, 'orders_func_id': 2, 'nnodes': 890}",critical
flickr,GPRGNN,91.52±0.56,182.42,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.002, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GPRGNN', 'alpha': 0.5, 'nlayers': 2, 'dprate': 0.5, 'init': 'PPR', 'dropout': 0.5, 'gamma': None}",cola
blogcatalog,OrderedGNN,96.39±0.69,98.34,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'OrderedGNN', 'dropout': 0.2, 'dropout2': 0.2, 'global_gating': True, 'num_layers_input': 1, 'chunk_size': 64, 'hidden_channel': 256, 'num_layers': 8, 'add_self_loops': False, 'simple_gating': False, 'tm': True, 'diff_or': True}",cola
photo,MLP,86.73±2.20,99.78,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MLP', 'dropout': 0.5}",pyg
photo,ACMGCN,92.35±0.39,86.63,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'ACMGCN', 'dropout': 0.2, 'structure_info': 1, 'variant': 1, 'nhid': 64, 'nlayers': 1, 'init_layers_X': 1, 'acm_model': 'acmgcnp', 'nnodes': 7650}",pyg
actor,MLP,34.69±0.71,25.20,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0001, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'MLP', 'dropout': 0}",pyg
blogcatalog,GPRGNN,96.26±0.62,61.91,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.002, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GPRGNN', 'alpha': 0.9, 'nlayers': 4, 'dprate': 0.5, 'init': 'PPR', 'dropout': 0.5, 'gamma': None}",cola
actor,ACMGCN,35.68±1.17,46.80,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'ACMGCN', 'dropout': 0, 'structure_info': 0, 'variant': 1, 'nhid': 64, 'nlayers': 1, 'init_layers_X': 1, 'acm_model': 'acmgcnp', 'nnodes': 7600}",pyg
flickr,MixHop,89.78±0.63,368.05,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MixHop', 'layers_1': [200, 200, 200], 'dropout': 0.5, 'layers_2': [200, 200, 200], 'lambd': 0.0005, 'cut_off': 0.1, 'budget': 60}",cola
