dataset,model,acc,time,args,source
amazon-ratings,OrderedGNN,51.58±0.99,501.21,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-06, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'OrderedGNN', 'dropout': 0.1, 'dropout2': 0.1, 'global_gating': False, 'num_layers_input': 3, 'chunk_size': 64, 'hidden_channel': 256, 'num_layers': 8, 'add_self_loops': False, 'simple_gating': False, 'tm': True, 'diff_or': True}",critical
amazon-ratings,H2GCN,36.65±0.73,160.42,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'H2GCN', 'dropout': 0.0, 'use_relu': True, 'k': 2, 'hidden_dim': 64}",critical
amazon-ratings,ACMGCN,50.51±0.66,682.70,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'ACMGCN', 'dropout': 0.8, 'structure_info': 1, 'variant': 1, 'nhid': 64, 'nlayers': 1, 'init_layers_X': 1, 'acm_model': 'acmgcnp', 'nnodes': 24492}",critical
roman-empire,MixHop,79.39±0.40,3117.44,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 1e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MixHop', 'layers_1': [200, 200, 200], 'dropout': 0.5, 'layers_2': [200, 200, 200], 'lambd': 0.0005, 'cut_off': 0.1, 'budget': 60}",critical
amazon-ratings,MixHop,47.91±0.53,3977.34,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MixHop', 'layers_1': [200, 200, 200], 'dropout': 0.5, 'layers_2': [200, 200, 200], 'lambd': 0.0005, 'cut_off': 0.1, 'budget': 60}",critical
roman-empire,GBKGNN,66.10±4.61,23352.58,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GBKGNN', 'lamda': 24, 'dim_size': 16}",critical
photo,GBKGNN,93.39±2.00,62890.73,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GBKGNN', 'lamda': 14, 'dim_size': 16}",pyg
actor,GBKGNN,35.74±4.46,3622.02,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GBKGNN', 'lamda': 4, 'dim_size': 16}",pyg
amazon-ratings,GBKGNN,41.00±1.62,18333.59,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GBKGNN', 'lamda': 36, 'dim_size': 16}",critical
pubmed,GBKGNN,88.66±0.43,19098.15,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GBKGNN', 'lamda': 3, 'dim_size': 16}",pyg
wikics,GBKGNN,81.85±1.83,126020.18,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GBKGNN', 'lamda': 20, 'dim_size': 16}",pyg

actor,IncepGCN,35.69±0.75,79.63,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'IncepGCN', 'dropout': 0.5, 'n_layers': 2, 'type': 'max'}",pyg
amazon-ratings,IncepGCN,52.72±0.80,2306.47,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'IncepGCN', 'dropout': 0.5, 'n_layers': 3, 'type': 'max'}",critical
blogcatalog,IncepGCN,96.67±0.48,115.59,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'IncepGCN', 'dropout': 0.5, 'n_layers': 2, 'type': 'max'}",cola
chameleon,IncepGCN,43.31±2.18,69.40,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'IncepGCN', 'dropout': 0.5, 'n_layers': 3, 'type': 'max'}",critical
flickr,IncepGCN,90.42±0.71,292.95,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'IncepGCN', 'dropout': 0.5, 'n_layers': 3, 'type': 'max'}",cola
photo,IncepGCN,95.66±0.40,160.75,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'IncepGCN', 'dropout': 0.5, 'n_layers': 3, 'type': 'max'}",pyg
pubmed,IncepGCN,89.32±0.47,546.59,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 500, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'IncepGCN', 'dropout': 0.5, 'n_layers': 2, 'type': 'max'}",pyg
roman-empire,IncepGCN,80.97±0.49,1820.86,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'IncepGCN', 'dropout': 0.5, 'n_layers': 3, 'type': 'max'}",critical
squirrel,IncepGCN,38.27±1.36,58.18,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'IncepGCN', 'dropout': 0.5, 'n_layers': 3, 'type': 'max'}",critical
wikics,IncepGCN,85.22±0.48,1600.14,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 300, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'IncepGCN', 'dropout': 0.5, 'n_layers': 8}",pyg

actor,GraphSAGE,34.52±0.64,274.05,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 200, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GraphSAGE', 'dropout': 0.5}",pyg
amazon-ratings,GraphSAGE,46.71±2.83,131.82,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 3, 'model': 'GraphSAGE', 'dropout': 0}",critical
blogcatalog,GraphSAGE,95.73±0.53,254.42,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0001, 'patience': 200, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GraphSAGE', 'dropout': 0}",cola
chameleon,GraphSAGE,41.24±1.65,29.16,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 200, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GraphSAGE', 'dropout': 0}",critical
flickr,GraphSAGE,91.74±0.58,362.16,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 2, 'model': 'GraphSAGE', 'dropout': 0.5}",cola
photo,GraphSAGE,94.52±1.27,585.37,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 2, 'model': 'GraphSAGE', 'dropout': 0.5}",pyg
pubmed,GraphSAGE,88.71±0.65,248.93,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GraphSAGE', 'dropout': 0.5}",pyg
roman-empire,GraphSAGE,66.39±2.16,203.92,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0001, 'patience': 200, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GraphSAGE', 'dropout': 0}",critical
squirrel,GraphSAGE,34.83±2.24,178.51,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.001, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GraphSAGE', 'dropout': 0.5}",critical
wikics,GraphSAGE,80.85±1.00,479.12,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 200, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GraphSAGE', 'dropout': 0.5}",pyg


actor,SIGN,36.76±1.00,58.08,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SIGN', 'dropout': 0.8, 'n_layers': 1, 'n_hops': 8}",pyg
amazon-ratings,SIGN,52.47±0.95,675.05,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SIGN', 'dropout': 0.5, 'n_layers': 1, 'n_hops': 8}",critical
blogcatalog,SIGN,96.06±0.68,184.63,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SIGN', 'dropout': 0.8, 'n_layers': 1, 'n_hops': 8}",cola
chameleon,SIGN,44.66±3.46,36.31,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SIGN', 'dropout': 0.8, 'n_layers': 1, 'n_hops': 8}",critical
flickr,SIGN,91.81±0.58,297.09,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'SIGN', 'dropout': 0.8, 'n_layers': 1, 'n_hops': 8}",cola
pubmed,SIGN,90.29±0.50,493.85,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SIGN', 'dropout': 0.5, 'n_layers': 1, 'n_hops': 8}",pyg
roman-empire,SIGN,81.56±0.57,626.11,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SIGN', 'dropout': 0.5, 'n_layers': 1, 'n_hops': 8}",critical
squirrel,SIGN,42.13±1.99,24.05,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SIGN', 'dropout': 0.5, 'n_layers': 1, 'n_hops': 8}",critical
wikics,SIGN,85.59±0.79,192.18,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 300, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SIGN', 'dropout': 0.5, 'n_layers': 1, 'n_hops': 8}",pyg
photo,SIGN,95.53±0.43,130.81,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'SIGN', 'dropout': 0.5, 'n_layers': 1, 'n_hops': 8}",pyg

actor,JKNet-GCN,30.49±1.71,48.55,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'JKNet', 'dropout': 0.5, 'aggregation': 'mean', 'type': 'max', 'n_units': 512, 'n_layers': 3}",pyg
amazon-ratings,JKNet-GCN,48.15±0.93,235.77,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'JKNet', 'dropout': 0.5, 'aggregation': 'mean', 'type': 'concat', 'n_units': 512, 'n_layers': 3, 'act': 'relu'}",critical
blogcatalog,JKNet-GCN,84.25±0.71,323.53,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'JKNet', 'dropout': 0.5, 'aggregation': 'mean', 'type': 'max', 'n_units': 512, 'n_layers': 3}",cola
chameleon,JKNet-GCN,43.31±3.12,33.34,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'JKNet', 'dropout': 0.5, 'aggregation': 'mean', 'type': 'concat', 'n_units': 512, 'n_layers': 3, 'act': 'relu'}",critical
flickr,JKNet-GCN,71.72±1.47,625.14,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'JKNet', 'dropout': 0.5, 'aggregation': 'mean', 'type': 'max', 'n_units': 512, 'n_layers': 6}",cola
photo,JKNet-GCN,94.39±0.40,173.03,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'JKNet', 'dropout': 0.5, 'aggregation': 'mean', 'type': 'concat', 'n_units': 512, 'n_layers': 3, 'act': 'relu'}",pyg
pubmed,JKNet-GCN,87.41±0.38,90.86,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'JKNet', 'dropout': 0.5, 'aggregation': 'mean', 'type': 'concat', 'n_units': 512, 'n_layers': 3, 'act': 'relu'}",pyg
roman-empire,JKNet-GCN,69.61±0.42,216.70,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'JKNet', 'dropout': 0.5, 'aggregation': 'mean', 'type': 'concat', 'n_units': 512, 'n_layers': 3, 'act': 'relu'}",critical
squirrel,JKNet-GCN,40.11±2.54,84.39,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'JKNet', 'dropout': 0.5, 'aggregation': 'mean', 'type': 'max', 'n_units': 512, 'n_layers': 6}",critical
wikics,JKNet-GCN,83.80±0.65,205.75,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'JKNet', 'dropout': 0.5, 'aggregation': 'mean', 'type': 'concat', 'n_units': 512, 'n_layers': 3, 'act': 'relu'}",pyg


actor,SGC,29.46±0.96,59.77,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGC', 'dropout': 0.5, 'k': 1, 'type': 'max'}",pyg
amazon-ratings,SGC,41.32±0.80,72.58,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGC', 'dropout': 0.5, 'k': 2, 'type': 'max'}",critical
blogcatalog,SGC,72.85±1.15,97.02,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGC', 'dropout': 0.5, 'k': 1, 'type': 'max'}",cola
chameleon,SGC,42.42±3.28,57.11,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGC', 'dropout': 0.5, 'k': 2, 'type': 'max'}",critical
flickr,SGC,59.02±1.48,524.14,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'SGC', 'dropout': 0.5, 'k': 1, 'type': 'max'}",cola
photo,SGC,92.38±0.49,88.35,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'SGC', 'dropout': 0.2, 'k': 1}",pyg
pubmed,SGC,87.14±0.57,124.16,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGC', 'dropout': 0.2, 'k': 1}",pyg
roman-empire,SGC,42.90±0.50,73.66,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGC', 'dropout': 0.5, 'k': 1}",critical
squirrel,SGC,39.75±1.85,77.73,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGC', 'dropout': 0.5, 'k': 1, 'type': 'max'}",critical
wikics,SGC,77.63±0.88,98.35,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGC', 'dropout': 0.2, 'k': 1}",pyg

actor,APPNP,35.09±0.79,31.99,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': [512, 512], 'model': 'APPNP', 'dropout': 0.1, 'alpha': 0.5, 'type': 'max', 'iterations': 10, 'adj_csr': <7600x7600 sparse matrix of type '<class 'numpy.int64'>'with 53318 stored elements in Compressed Sparse Row format>}",pyg
amazon-ratings,APPNP,47.72±0.54,67.52,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 300, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': [512, 512], 'model': 'APPNP', 'dropout': 0.5, 'alpha': 0.5, 'type': 'max', 'iterations': 3, 'adj_csr': <24492x24492 sparse matrix of type '<class 'numpy.int32'>'with 186100 stored elements in Compressed Sparse Row format>}",critical
blogcatalog,APPNP,96.13±0.58,20.50,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': [512, 512], 'model': 'APPNP', 'dropout': 0.5, 'alpha': 0.5, 'type': 'app', 'iterations': 1, 'adj_csr': <5196x5196 sparse matrix of type '<class 'numpy.int64'>'with 343486 stored elements in Compressed Sparse Row format>}",cola
chameleon,APPNP,41.12±3.25,25.63,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': [512, 512], 'model': 'APPNP', 'dropout': 0.5, 'alpha': 0.5, 'type': 'max', 'iterations': 10, 'adj_csr': <890x890 sparse matrix of type '<class 'numpy.int32'>'with 17708 stored elements in Compressed Sparse Row format>}",critical
